ID ,Sanctions country:,Name:,Full name:,Native name:,Surname:,First  and midle name(s):,Aliases:,Identifying information:,Place of birth: ,Date of birth:,Country of residence:,Family members,Family members subject to sanctions,Suspected or confirmed overseas properties,Suspected or confirmed links to legal entities,Suspected or confirmed links to bank accounts ,Suspected or confirmed links to other assets ,Estimates of assets frozen or confiscated:,Estimates of assets returned:,Type of sanctions:,Start of sanctions:,Story
01,Ukraine,,Viktor Fedorovych Yanukovych ,Вiктор Федорович Янукович,Yanukovych,Viktor Fedorovych,Viktor Fedorovich Yanukovich (Виктор Фёдорович Янукович),Former President of Ukraine,"Ukraine, Donetsk oblast (Region), Yenakieve",09.07.1950,Russia,,,,,,,,TI Russia source but not found,,06.03.2014,"embezzlement of more than 7 million euros ($7.6 million) of state funds earmarked for a government telecommunications system, Arseniy Yatsenyuk, the prime minister of Ukraine from 2014 to 2016, has claimed that up to $70 billion was diverted from Ukraine’s treasury to foreign accounts during Yanukovych’s presidency - https://www.courthousenews.com/exiled-ukrainian-president-loses-bid-thaw-assets/"
02,Ukraine,,Vitalii Yuriyovych Zakharchenko,Віталій Юрійович Захарченко,Zakharchenko,Vitalii Yuriyovych,"Vitaliy Yurievich Zakharchenko, Виталий Юрьевич Захарченко",Former Minister of Internal Affairs,,,,,,,,,,,,,,
03,Ukraine,,Viktor Pavlovych Pshonka,Віктор Павлович Пшонка,Pshonka,Pavlovych Pshonka,,Former Prosecutor General of Ukraine,,,,,,,,,,,,,,
04,Ukraine,,Andrii Petrovych Kliuiev,Андрій Петрович Клюєв,Kliuiev,Andrii Petrovych,Andriy Petrovych Klyuyev/Kluev,Former Head of Administration of President of Ukraine,,,,,,,,,,,,,,
05,Ukraine,,Viktor Ivanovych Ratushniak,Віктор Іванович Ратушняк,Ratushniak,Viktor Ivanovych,,Former Deputy Minister of Internal Affairs,,,,,,,,,,,,,,
06,Ukraine,,Oleksandr Viktorovych Yanukovych,Олександр Вікторович Янукович,Yanukovych,Oleksandr Viktorovych ,,Son of former President,,,,,,,,,,,,,,
07,Ukraine,,Artem Viktorovych Pshonka,Артем Вікторович Пшонка,Pshonka,Artem Viktorovych ,,Deputy Head of the faction of Party of Regions in the Verkhovna Rada of Ukraine,,,,,,,,,,,,,,
08,Ukraine,,Mykola Yanovych Azarov,Микола Янович Азаров,Azarov,Mykola Yanovych,Nikolai Yanovich Azarov,Former Prime Minister of Ukraine ,,,,,,,,,,,,,,
09,Ukraine,,Serhiy Vitalyovych Kurchenko,Сергій Віталійович Курченко,Kurchenko,Serhiy Vitalyovych ,,Businessman,,,,,,,,,,,,,,
10,Ukraine,,Dmytro Volodymyrovych Tabachnyk,Дмитро Володимирович Табачник,Tabachnyk,Dmytro Volodymyrovych ,,Former Minister of Education and Science,,,,,,,,,,,,,,
11,Ukraine,,Serhiy Hennadiyovych Arbuzov,Сергій Геннадійович Арбузов,Arbuzov,Hennadiyovych Arbuzov,Sergei Gennadievich Arbuzov,Former Prime Minister of Ukraine,,,,,,,,,,,,,,
12,Ukraine,,Oleksandr Viktorovych Klymenko,Олександр Вікторович Клименко,Klymenko,Oleksandr Viktorovych ,,Former Minister of Revenues and Charges of Ukraine,,,,,,,,,,,,,,
13,Ukraine,,Edward Stavytskyi,Едуард Анатолійович Ставицький,Stavytskyi ,Edward Anatoliyovych,"Eduard Anatoliyovych Stavytsky, Natan Rozenberh",Former Minister of Fuel and Energy of Ukraine.,,,,,,,,,,,,,,
